id,Artist Name,id_sex,id_country,id_language,id_genre,id_arist_type,Debut Year
432,Ovy On The Drums,1,5,2,3,1,2016
433,Olivia Dean,2,3,1,22,1,2018
434,Dire Straits,1,3,1,6,2,1978
435,NewJeans,2,6,3,5,2,2022
436,Avenged Sevenfold,1,2,1,20,2,2001
437,Ricardo Arjona,1,40,2,10,1,1985
438,Los �?ngeles Azules,2,11,2,10,2,1982
439,Rex Orange County,1,3,1,2,1,2015
440,ScHoolboy Q,1,2,1,1,1,2008
441,6LACK,1,2,1,4,1,2016
442,Disclosure,1,3,1,8,2,2010
443,Brytiago,1,2,2,3,1,2014
444,Alesso,1,16,1,8,1,2010
445,RAF Camora,1,41,6,1,1,2006
446,Nelly,1,2,1,1,1,2000
447,Mumford & Sons,1,3,1,6,2,2009
448,Kumaar,1,9,4,2,1,1999
449,Pearl Jam,1,2,1,6,2,1991
450,Zion,1,2,2,3,1,2004
451,Ryan Castro,1,5,2,3,1,2017
452,Nelly Furtado,2,1,1,2,1,2000
453,Wesley Safadão,1,19,7,10,1,2003
454,Disturbed,1,2,1,20,2,2000
455,H.E.R.,2,2,1,4,1,2016
456,Rita Ora,2,3,1,2,1,2012
457,Kevin Gates,1,2,1,1,1,2007
458,beabadoobee,2,42,1,6,1,2017
459,Karan Aujla,1,9,12,1,1,2014
460,Céline Dion,2,1,9,2,1,1981
461,Bryan Adams,1,1,1,6,1,1980
462,ENHYPEN,1,6,3,5,2,2020
463,Dominic Fike,1,2,1,7,1,2017
464,Ana Castela,2,19,7,17,1,2021
465,LANY,1,2,1,2,2,2014
466,Johnny Cash,1,2,1,12,1,1955
467,B.o.B,1,2,1,1,1,2007
468,Jason Aldean,1,2,1,12,1,2005
469,Luan Santana,1,19,7,17,1,2009
470,KHEA,1,24,2,1,1,2017
471,Maiara & Maraisa,2,19,7,17,2,2013
472,Mc IG,1,19,7,10,1,2015
473,Tiago PZK,1,24,2,1,1,2018
474,Tom Odell,1,3,1,2,1,2012
475,Macklemore & Ryan Lewis,2,2,1,1,2,2009
476,Thomas Rhett,1,2,1,12,1,2012
477,MØ,2,43,1,2,1,2006
478,Five Finger Death Punch,1,2,1,20,2,2007
479,Kane Brown,1,2,1,12,1,2014
480,Laufey,2,44,1,2,1,2020
481,Grupo Menos É Mais,1,19,7,10,2,2016
482,Nicki Nicole,2,24,2,10,1,2019
483,Moneybagg Yo,1,2,1,1,1,2012
484,Magenta,2,34,10,2,1,1997
485,Ryan Lewis,1,2,1,1,1,2008
486,Morad,1,25,2,1,1,2018
487,Calum Scott,1,3,1,2,1,2016
488,TOMORROW X TOGETHER,1,6,3,5,2,2019
489,Grupo Marca Registrada,1,11,2,11,2,2015
490,benny blanco,1,2,1,2,1,2007
491,JID,1,2,1,1,1,2010
492,YNW Melly,1,2,1,1,1,2017
493,Juan Gabriel,1,11,2,10,1,1971
494,Los Temerarios,1,11,2,10,2,1977
495,Jason Mraz,1,2,1,2,1,2002
496,The Cure,1,3,1,6,2,1979
497,The Marías,2,2,1,2,2,2017
498,Limp Bizkit,1,2,1,24,2,1997
499,Korn,1,2,1,20,2,1994
500,Omar Courtz,1,2,2,3,1,2017
