id_stats_game,positive,negative,price,initialprice,discount,ccu,owners_min,owners_max
12819,71,60,1.49,5.99,75,0,"50,000","100,000"
12820,49,5,19.99,19.99,0,0,"50,000","100,000"
12821,1096,171,2.99,2.99,0,1,"50,000","100,000"
12822,1001,187,19.99,19.99,0,54,"50,000","100,000"
12823,23,8,4.99,4.99,0,1,"50,000","100,000"
12824,85,495,0.0,0.0,0,0,"50,000","100,000"
12825,211,168,34.99,34.99,0,4,"50,000","100,000"
12826,108,119,2.99,19.99,85,2,"50,000","100,000"
12827,101,45,6.99,6.99,0,1,"50,000","100,000"
12828,274,18,11.99,11.99,0,3,"50,000","100,000"
12829,173,100,4.99,4.99,0,0,"50,000","100,000"
12830,519,47,3.99,3.99,0,8,"50,000","100,000"
12831,90,46,1.49,2.99,50,1,"50,000","100,000"
12832,289,39,0.0,0.0,0,0,"50,000","100,000"
12833,134,43,9.99,9.99,0,0,"50,000","100,000"
12834,6,4,7.99,7.99,0,0,"50,000","100,000"
12835,443,252,9.99,9.99,0,1,"50,000","100,000"
12836,183,28,0.0,0.0,0,0,"50,000","100,000"
12837,35,20,24.99,24.99,0,0,"50,000","100,000"
12838,377,182,9.99,9.99,0,7,"50,000","100,000"
12839,1667,1863,24.99,24.99,0,1,"50,000","100,000"
12840,207,175,4.99,4.99,0,4,"50,000","100,000"
12841,142,124,3.99,3.99,0,0,"50,000","100,000"
12842,2,1,12.99,12.99,0,0,"50,000","100,000"
12843,5,0,1.99,1.99,0,0,"50,000","100,000"
12844,160,26,0.0,0.0,0,0,"50,000","100,000"
12845,245,42,0.0,0.0,0,0,"50,000","100,000"
12846,1701,206,0.0,0.0,0,5,"50,000","100,000"
12847,554,28,4.99,4.99,0,160,"50,000","100,000"
12848,6,3,2.99,2.99,0,0,"50,000","100,000"
12849,109,18,0.0,0.0,0,0,"50,000","100,000"
12850,86,86,19.99,19.99,0,0,"50,000","100,000"
12851,203,75,14.99,14.99,0,4,"50,000","100,000"
12852,584,61,9.99,9.99,0,8,"50,000","100,000"
12853,115,79,0.0,0.0,0,1,"50,000","100,000"
12854,47,19,19.99,19.99,0,1,"50,000","100,000"
12855,62,43,0.0,0.0,0,0,"50,000","100,000"
12856,73,41,0.0,0.0,0,0,"50,000","100,000"
12857,99,57,9.99,9.99,0,1,"50,000","100,000"
12858,404,58,14.99,14.99,0,0,"50,000","100,000"
12859,1645,316,17.99,17.99,0,55,"50,000","100,000"
12860,81,30,0.0,0.0,0,1,"50,000","100,000"
12861,11,1,13.99,13.99,0,0,"50,000","100,000"
12862,101,130,4.99,4.99,0,0,"50,000","100,000"
12863,51,6,9.99,9.99,0,1,"50,000","100,000"
12864,3,1,5.99,5.99,0,0,"50,000","100,000"
12865,211,174,0.0,0.0,0,0,"50,000","100,000"
12866,2,0,4.99,4.99,0,0,"50,000","100,000"
12867,96,62,4.99,4.99,0,0,"50,000","100,000"
12868,65,108,0.0,0.0,0,0,"50,000","100,000"
12869,85,9,0.0,0.0,0,0,"50,000","100,000"
12870,54,4,0.0,0.0,0,1,"50,000","100,000"
12871,217,26,9.99,9.99,0,0,"50,000","100,000"
12872,505,42,4.99,4.99,0,1,"50,000","100,000"
12873,29,12,9.99,9.99,0,0,"50,000","100,000"
12874,359,75,1.29,12.99,90,0,"50,000","100,000"
12875,125,36,0.0,0.0,0,0,"50,000","100,000"
12876,353,64,19.99,19.99,0,1,"50,000","100,000"
12877,1115,199,3.99,19.99,80,5,"50,000","100,000"
12878,1117,536,14.99,14.99,0,5,"50,000","100,000"
12879,92,178,1.59,7.99,80,0,"50,000","100,000"
12880,164,228,9.99,9.99,0,0,"50,000","100,000"
12881,129,89,0.99,0.99,0,0,"50,000","100,000"
12882,1121,471,6.29,20.99,70,19,"50,000","100,000"
12883,132,63,0.0,0.0,0,2,"50,000","100,000"
12884,33,10,0.99,0.99,0,0,"50,000","100,000"
12885,287,79,11.24,24.99,55,1,"50,000","100,000"
12886,770,46,0.99,0.99,0,1,"50,000","100,000"
12887,772,248,24.99,24.99,0,5,"50,000","100,000"
12888,537,114,0.0,0.0,0,0,"50,000","100,000"
12889,1,5,1.99,1.99,0,0,"50,000","100,000"
12890,2,1,2.0,2.0,0,0,"50,000","100,000"
12891,256,23,7.99,7.99,0,0,"50,000","100,000"
12892,271,143,9.99,9.99,0,0,"50,000","100,000"
12893,481,48,3.99,3.99,0,0,"50,000","100,000"
12894,27,1,7.99,7.99,0,0,"50,000","100,000"
12895,155,57,6.99,6.99,0,8,"50,000","100,000"
12896,149,512,4.99,4.99,0,0,"50,000","100,000"
12897,224,64,4.99,4.99,0,0,"50,000","100,000"
12898,237,15,9.99,9.99,0,0,"50,000","100,000"
12899,265,63,9.99,9.99,0,3,"50,000","100,000"
12900,1,0,9.99,9.99,0,0,"50,000","100,000"
12901,383,53,9.99,9.99,0,1,"50,000","100,000"
12902,147,21,5.99,5.99,0,0,"50,000","100,000"
12903,79,99,0.0,0.0,0,0,"50,000","100,000"
12904,461,38,0.99,4.99,80,5,"50,000","100,000"
12905,72,51,5.99,5.99,0,0,"50,000","100,000"
12906,108,14,2.99,2.99,0,1,"50,000","100,000"
12907,72,85,4.99,4.99,0,0,"50,000","100,000"
12908,108,22,0.0,0.0,0,0,"50,000","100,000"
12909,82,6,11.99,11.99,0,3,"50,000","100,000"
12910,198,142,0.0,0.0,0,0,"50,000","100,000"
12911,1081,154,19.99,19.99,0,81,"50,000","100,000"
12912,19,13,9.99,9.99,0,1,"50,000","100,000"
12913,578,94,5.99,5.99,0,1,"50,000","100,000"
12914,1217,262,29.99,59.99,50,9,"50,000","100,000"
12915,396,124,24.99,24.99,0,0,"50,000","100,000"
12916,793,46,11.99,11.99,0,11,"50,000","100,000"
12917,335,293,0.0,0.0,0,0,"50,000","100,000"
12918,7,8,1.99,1.99,0,0,"50,000","100,000"
12919,35,5,12.49,12.49,0,0,"50,000","100,000"
12920,1,1,2.99,2.99,0,0,"50,000","100,000"
12921,271,127,9.99,9.99,0,0,"50,000","100,000"
12922,8,0,4.99,4.99,0,0,"50,000","100,000"
12923,465,329,12.99,12.99,0,1,"50,000","100,000"
12924,378,18,6.99,6.99,0,1,"50,000","100,000"
12925,3714,216,0.0,0.0,0,17,"50,000","100,000"
12926,277,72,0.99,9.99,90,0,"50,000","100,000"
12927,4,0,4.99,4.99,0,0,"50,000","100,000"
12928,10,2,0.0,0.0,0,0,"50,000","100,000"
12929,10,4,0.0,0.0,0,0,"50,000","100,000"
12930,45,6,7.99,7.99,0,0,"50,000","100,000"
12931,41,5,0.0,0.0,0,0,"50,000","100,000"
12932,2104,335,19.99,19.99,0,39,"50,000","100,000"
12933,157,11,14.99,14.99,0,0,"50,000","100,000"
12934,60,20,5.99,5.99,0,0,"50,000","100,000"
12935,108,25,0.0,0.0,0,0,"50,000","100,000"
12936,38,12,3.99,3.99,0,0,"50,000","100,000"
12937,19,7,7.99,7.99,0,0,"50,000","100,000"
12938,88,84,0.74,4.99,85,0,"50,000","100,000"
12939,836,151,29.99,29.99,0,35,"50,000","100,000"
12940,174,54,19.99,19.99,0,10,"50,000","100,000"
12941,83,3,0.0,0.0,0,0,"50,000","100,000"
12942,1530,263,19.99,19.99,0,62,"50,000","100,000"
12943,182,50,3.24,12.99,75,1,"50,000","100,000"
12944,2,2,9.99,9.99,0,0,"50,000","100,000"
12945,94,217,4.99,4.99,0,0,"50,000","100,000"
12946,518,284,29.99,29.99,0,2,"50,000","100,000"
12947,260,10,4.99,4.99,0,2,"50,000","100,000"
12948,24,18,19.99,19.99,0,0,"50,000","100,000"
12949,1067,228,9.99,9.99,0,1,"50,000","100,000"
12950,272,130,0.0,0.0,0,0,"50,000","100,000"
12951,16,0,1.99,1.99,0,0,"50,000","100,000"
12952,106,78,14.99,14.99,0,1,"50,000","100,000"
12953,11,18,0.0,0.0,0,0,"50,000","100,000"
12954,36,22,9.99,9.99,0,0,"50,000","100,000"
12955,2773,34,7.99,9.99,20,30,"50,000","100,000"
12956,434,58,4.99,4.99,0,0,"50,000","100,000"
12957,221,123,19.99,19.99,0,0,"50,000","100,000"
12958,26,31,5.99,5.99,0,89,"50,000","100,000"
12959,153,63,0.0,0.0,0,0,"50,000","100,000"
12960,75,14,19.99,19.99,0,3,"50,000","100,000"
12961,297,134,9.99,9.99,0,76,"50,000","100,000"
12962,228,40,19.99,19.99,0,0,"50,000","100,000"
12963,164,38,3.99,3.99,0,0,"50,000","100,000"
12964,1684,120,34.99,34.99,0,19,"50,000","100,000"
12965,179,45,14.99,14.99,0,0,"50,000","100,000"
12966,127,14,0.0,0.0,0,7,"50,000","100,000"
12967,129,293,0.0,0.0,0,0,"50,000","100,000"
12968,129,19,0.0,0.0,0,0,"50,000","100,000"
12969,964,82,14.99,14.99,0,5,"50,000","100,000"
12970,758,220,14.99,14.99,0,35,"50,000","100,000"
12971,630,227,11.99,14.99,20,1,"50,000","100,000"
12972,375,110,9.99,9.99,0,999,"50,000","100,000"
12973,320,265,19.99,19.99,0,0,"50,000","100,000"
12974,49,28,0.0,0.0,0,0,"50,000","100,000"
12975,10,1,2.99,2.99,0,0,"50,000","100,000"
12976,2,2,5.99,5.99,0,0,"50,000","100,000"
12977,247,44,14.99,14.99,0,2,"50,000","100,000"
12978,35,6,4.99,4.99,0,1,"50,000","100,000"
12979,180,64,7.99,7.99,0,1,"50,000","100,000"
12980,57,20,0.0,0.0,0,0,"50,000","100,000"
12981,258,37,12.99,12.99,0,0,"50,000","100,000"
12982,37,46,19.99,19.99,0,0,"50,000","100,000"
12983,1070,72,19.99,19.99,0,4,"50,000","100,000"
12984,219,137,4.99,4.99,0,0,"50,000","100,000"
12985,40,9,3.99,3.99,0,76,"50,000","100,000"
12986,1,2,1.99,1.99,0,0,"50,000","100,000"
12987,30,7,0.0,0.0,0,0,"50,000","100,000"
12988,206,161,24.99,24.99,0,0,"50,000","100,000"
12989,275,32,19.99,19.99,0,3,"50,000","100,000"
12990,97,16,0.0,0.0,0,0,"50,000","100,000"
12991,1,0,0.99,0.99,0,0,"50,000","100,000"
12992,1088,114,10.39,12.99,20,4,"50,000","100,000"
12993,16,3,12.99,12.99,0,0,"50,000","100,000"
12994,158,62,15.99,15.99,0,0,"50,000","100,000"
12995,8,1,2.99,2.99,0,0,"50,000","100,000"
12996,226,142,0.99,0.99,0,0,"50,000","100,000"
12997,229,18,0.0,0.0,0,1,"50,000","100,000"
12998,2201,129,29.99,59.99,50,18,"50,000","100,000"
12999,580,149,6.99,6.99,0,3,"50,000","100,000"
13000,238,30,11.99,11.99,0,3,"50,000","100,000"
13001,4,0,3.99,3.99,0,0,"50,000","100,000"
13002,892,410,16.99,16.99,0,5,"50,000","100,000"
13003,591,47,5.99,5.99,0,0,"50,000","100,000"
13004,1424,342,12.49,24.99,50,3,"50,000","100,000"
13005,98,9,5.99,5.99,0,0,"50,000","100,000"
13006,3,0,0.99,0.99,0,0,"50,000","100,000"
13007,169,46,9.99,9.99,0,1,"50,000","100,000"
13008,13,2,2.99,2.99,0,0,"50,000","100,000"
13009,1147,133,19.99,19.99,0,11,"50,000","100,000"
13010,280,67,14.99,14.99,0,0,"50,000","100,000"
13011,639,149,1.99,1.99,0,0,"50,000","100,000"
13012,302,32,6.99,6.99,0,1,"50,000","100,000"
13013,391,163,6.99,6.99,0,1,"50,000","100,000"
