id_publisher,publisher
1006,Gears For Breakfast
1007,Idea Factory International
1008,"Mythwright, Brightrock Games"
1009,Redhill Games
1010,Megastorm Games
1011,Rubydev
1012,Hovgaard Games
1013,Krillbite Studio
1014,Realm Archive
1015,Ryseup Studios
1016,Senpai Industrial Studios
1017,"Grabthegames, Thegamesfortress"
1018,Other Tales Interactive
1019,Zero-K Team
1020,"Fishing Cactus, Pid Games, Dear Villagers"
1021,"91Act, Astrolabe Games"
1022,Choice Provisions
1023,Shift Now
1024,Fun Dog Studios
1025,Mode 7
1026,Unepic Games
1027,Wayone Games
1028,Anima Locus
1029,Eyedentity Games Inc.
1030,Giant Games
1031,Texel Raptor
1032,"Softstar Technology(Beijing), Softstar Entertainment"
1033,"Assemble Entertainment, Whispergames"
1034,Ghosthunter
1035,Lugus Studios
1036,"Atari Inc., Cubed Productions Llc"
1037,Neople
1038,Playsurroundead
1039,Space Bullet Dynamics Corporation
1040,"Neon Doctrine, Raw Fury"
1041,Might And Delight
1042,Indie.Io
1043,"Days Of Wonder, Twin Sails Interactive"
1044,"Hikari Field, Nekonyan Ltd."
1045,Rain Games
1046,"Larian Studios, Focus Home Interactive"
1047,"Next Studios, Meta Publishing"
1048,Two Star Games
1049,Invincibles Studio Ltd
1050,Astrolabe Games
1051,Team Samoyed
1052,Bandai Namco Entertainment America
1053,Altfuture
1054,"Double Damage Games, Sneg"
1055,Saikono
1056,Newrealitygames
1057,"Jsl Entertainment, Phoenix Game"
1058,Toastielabs
1059,Luden.Io
1060,Codemasters
1061,Tribe Studios
1062,"Jagex Ltd, H2 Interactive Co., Ltd., Graph"
1063,"Everything Unlimited Ltd., Klei Publishing"
1064,Fiveamp
1065,Cosmographic Software
1066,Mydockfinder
1067,Sigma Team Inc.
1068,2K Games
1069,Ramen Vr
1070,"摸鱼游戏, Aluba Van+"
1071,Dovetail Games - Tsw
1072,Nvlmaker
1073,"Assemble Entertainment, Whispergames, Mayflower Entertainment"
1074,Suba Games
1075,"Hayden , Rothman"
1076,Pixeltail Games
1077,"Plaion, Deep Silver"
1078,Draw Me A Pixel
1079,Wargaming Labs
1080,Valera Entertainment
1081,"Deep Field Games, New Blood Interactive"
1082,"Eternal Dream, 迷糊的安安"
1083,Khb-Soft
1084,Lighthouse Games Studio
1085,"Pupuya Games, Simoncreative, Justdan"
1086,Streum On Studio
1087,"Xseed Games, Marvelous Usa, Inc."
1088,Tomorrow Corporation
1089,Phat Phrog Studios
1090,Rdt.32
1091,Savysoda
1092,The Astronauts
1093,Spiral Up Games
1094,Nukgames
1095,Downpour Interactive
1096,Camshaft Software Ltd
1097,A List Games
1098,"Teneke Kafalar, Kwalee"
1099,Newprojekt
1100,Kubold
1101,Lion'S Shade
1102,"Wildworks, Inc."
1103,Endgameloop Games
1104,Miniclip
1105,一个小目标工作室
1106,David Oreilly
