id_developer,developer
575,"Id Software, Nightdive Studios, Machinegames"
576,Lazy Bear Games
577,Pugstorm
578,Koei Tecmo
579,New Reality Games
580,Next Studios
581,Hi-Rez Studios
582,"Free Games Info, Hyperboreangames"
583,Intiny
584,"Blizzard Entertainment, Inc."
585,Nexon Korea Corporation
586,"Obsidian Entertainment, Wishlist Games"
587,Deck13
588,Neocoregames
589,Mobius Digital
590,Siege Camp
591,Nanjing Aquatrax
592,Ankama Studio
593,"Bohemia Interactive, Josef Šimánek (Retro)"
594,"Jumpstart Games, Inc."
595,Two Point Studios
596,Osumia Games
597,Daedalic Entertainment
598,Four Quarters
599,"Big Huge Games, 38 Studios"
600,Snowblind Studios
601,"2K Marin, 2K China, Digital Extremes, 2K Australia"
602,Mimimi Games
603,Codebrush Games
604,Polytron Corporation
605,Fyqd-Studio
606,Frost Giant Studios
607,"Eric Ruts, Jacob Kooiman"
608,Dotemu
609,Guerrilla
610,Blankmediagames
611,"Space Cat Studios, Snowflame, Back To Basics Gaming"
612,"Sparkypants Studios, Llc"
613,Wyrmbyte
614,Panzar Studio
615,Client/Frontend: Endava  / Backend: Supernimbus
616,South East Games
617,Frogwares
618,Tour De Pizza
619,Fluppisoft Gmbh
620,Egosoft
621,Reperio Studios
622,Thomas Jc Ironmonger
623,Miju Games
624,Hotta Studio
625,Flashbulb
626,Black Salt Games
627,Mrfatcat
628,Unreal Software
629,Hfm Games
630,Consumer Softproducts
631,Łukasz Jakowski
632,Topware Interactive
633,Indoor Astronaut
634,Clock Wizard Games
635,"Crytek, Saber Interactive"
636,Kojima Productions
637,Urban Games
638,Eko Software
639,Badmudstudio
640,Rubberbandgames
641,Sandlot
642,Kadokawa Games / Grasshopper Manufacture
643,"Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)"
644,It'S Happening
645,Alawar Stargaze (Warm Lamp Games)
646,"Netherrealm Studios, High Voltage Software"
647,Pixile
648,Creative Assembly
649,Projectmoon
650,City Interactive
651,Gruby Entertainment
652,Jagex Limited
653,Saber Interactive Inc
654,"Kaiko, Vigil Games"
655,Neowiz Bless Studio
656,Ghost Town Games Ltd.
657,Render Cube
658,"Ubisoft Annecy, Ubisoft Montpellier, Ubisoft Kiev"
659,"Toys For Bob, Iron Galaxy Studios"
660,"Gravity, Inc."
661,Milkstone Studios
662,汉家松鼠Han-Squirrel Studio
663,Steel Wool Studios
664,Ion Storm
665,Mossmouth
666,Funcom
667,"Hangar 13, Aspyr (Mac)"
668,Indefatigable
669,"Krafton, Inc."
670,"Xelu, Those Awesome Guys"
671,Hangar 13
672,Stress Level Zero
673,Nine Dots Studio
674,Neople
675,Green Tile Digital
676,Capcom Game Studio Vancouver
677,Runestorm
678,Toontraxx Studios
679,Tt Games
680,Ea Los Angeles
681,Traveller'S Tales
682,Genesz
683,Number None
684,"Traveller'S Tales, Tt Games"
685,Rusty Lake
686,Notgames
687,Hunter Studio
688,Igara Studio
689,Exor Studios
690,Triumph Studios
691,Mundfish
692,"Bandai Namco Studios Inc., Dimps Corporation"
693,"Omocat, Llc"
694,Lunarch Studios
695,Bitbeast Games
696,Gameloft
697,800 North And Digital Ranch
698,Acid Wizard Studio
699,The Chinese Room
700,Lilith
701,"Naughty Dog Llc, Iron Galaxy Studios"
702,Game Grumps
703,Ink Stains Games
704,Tecopark
705,Striking Distance Studios
706,Sujiko
707,Qing Feng Beijing Technology
708,"Microprose Software, Inc"
709,Rpg Video
710,Dankie
711,S2 Games
712,Realmforge Studios
713,Klab Inc.
714,Johan Grönvall
715,"Hologryph, Eerie Guest Studios"
716,Beam Team Games
717,Pine Studio
718,Mechanistry
719,Day 1 Studios
720,Konami Digital Entertainment
721,Sharex Team
722,Matt Dabrowski
723,Winged Cloud
724,Geometa
725,Other Ocean Interactive
726,Fair Games Aps
727,Ci Games
728,Purple Lamp
729,Amistech Games
730,"Thekla, Inc."
731,Gamious
732,Cruderocks
733,Bishop Armstrong
734,"Christian Whitehead, Headcannon, Pagodawest Games"
735,Outerlight Ltd.
736,The Game Bakers
737,Byterunners
738,Lag Studios
739,"Epic Games, Inc."
740,Computer Lunch
741,Black Isle Studios
742,"Mossmouth, Blitworks"
